i	n	method	time	mu_1	mu_2	mu_3	mu_4	mu_1_ci_l	mu_2_ci_l	mu_3_ci_l	mu_4_ci_l	mu_1_ci_u	mu_2_ci_u	mu_3_ci_u	mu_4_ci_u	mu_1_bias	mu_2_bias	mu_3_bias	mu_4_bias	mu_1_coverage	mu_2_coverage	mu_3_coverage	mu_4_coverage	coverage
26	1000	cavi	0.0529999999999973	-0.0259155262854844	4.94013908779727	9.94946931613674	19.9594379349238	-0.147435252691289	4.81476796430295	9.82635320290102	19.8344728991719	0.0956042001203199	5.06551021129159	10.0725854293725	20.0844029706757	-0.0259155262854844	-0.0598609122027298	-0.0505306838632595	-0.0405620650762017	TRUE	TRUE	TRUE	TRUE	TRUE
27	1000	gibbs	78.251	0.00650074575478319	5.03115293239683	10.019979012995	19.889148719835	-0.126301714002236	4.90360287960974	9.89012043763715	19.764310774945	0.133480276482557	5.15889196176135	10.1506617184886	20.0130328936941	0.00650074575478319	0.0311529323968296	0.0199790129949999	-0.110851280165001	TRUE	TRUE	TRUE	TRUE	TRUE
27	1000	cavi	0.0529999999999973	0.00618452588843146	5.03060704668477	10.0199335242753	19.8901083986873	-0.117646043019355	4.90920492690527	9.89517644593341	19.76514336292	0.130015094796218	5.15200916646427	10.1446906026171	20.0150734344545	0.00618452588843146	0.0306070466847697	0.0199335242753005	-0.1098916013127	TRUE	TRUE	TRUE	TRUE	TRUE
28	1000	gibbs	78.325	0.0100080625393148	4.90961203053441	9.92339030699492	19.9214997682488	-0.116260164440024	4.77433141792073	9.79978795769255	19.7965988496324	0.135159641273676	5.04361267282321	10.0535345618896	20.0454205693938	0.0100080625393148	-0.0903879694655902	-0.0766096930050804	-0.0785002317511996	TRUE	TRUE	TRUE	TRUE	TRUE
28	1000	cavi	0.0530000000000115	0.0100353119105315	4.90959494802379	9.92380805764699	19.9217950235008	-0.109796858420813	4.78232111562939	9.80090376536806	19.7965752167614	0.129867482241876	5.03686878041819	10.0467123499259	20.0470148302402	0.0100353119105315	-0.0904050519762096	-0.0761919423530095	-0.078204976499201	TRUE	TRUE	TRUE	TRUE	TRUE
29	1000	gibbs	78.288	-0.0231860972565358	5.00142672594454	9.97861221371854	20.0091205083473	-0.14872193158492	4.86230841831385	9.85358371876716	19.8863258144473	0.104715342855071	5.13575445439893	10.1043371540401	20.133083981343	-0.0231860972565358	0.00142672594454041	-0.0213877862814602	0.00912050834730138	TRUE	TRUE	TRUE	TRUE	TRUE
29	1000	cavi	0.0499999999999972	-0.0239068603929277	5.00239396908248	9.97784726586825	20.0088311105071	-0.146968189190585	4.87527469976817	9.85689582016994	19.8848698262284	0.0991544684047295	5.12951323839678	10.0987987115666	20.1327923947857	-0.0239068603929277	0.00239396908247969	-0.0221527341317493	0.00883111050709928	TRUE	TRUE	TRUE	TRUE	TRUE
30	1000	gibbs	78.436	-0.0541876169374258	4.92997022132587	10.0140574509381	19.8977997085215	-0.18823794421969	4.7961038799214	9.8919769221267	19.7782542100128	0.0773138834805296	5.06384299946801	10.1378890119068	20.0201730857783	-0.0541876169374258	-0.0700297786741304	0.0140574509381004	-0.1022002914785	TRUE	TRUE	TRUE	TRUE	TRUE
30	1000	cavi	0.0510000000000019	-0.053633070243115	4.931413298789	10.0147424615727	19.8969598738761	-0.180527133719706	4.80465249479862	9.89419110238379	19.775870669486	0.0732609932334761	5.05817410277937	10.1352938207616	20.0180490782663	-0.053633070243115	-0.0685867012110002	0.0147424615727001	-0.103040126123901	TRUE	TRUE	TRUE	TRUE	TRUE
31	1000	gibbs	78.151	-0.0149086171091821	4.8903771629096	9.84152164073561	19.9487621927413	-0.144966029920474	4.75500497692063	9.70801494698579	19.8272208615208	0.11715428080743	5.02815074835603	9.97002473401568	20.0711889112322	-0.0149086171091821	-0.1096228370904	-0.158478359264389	-0.0512378072587012	TRUE	TRUE	FALSE	TRUE	FALSE
